val_idx,subset,pred_stage5,pred_stage6
0,Aka_Gha,"Nea ɛbɛyɛ na wɔadu mmabun a wɔato wɔn hintidua anaasɛ wonnya mmoa pii, a wɔn a wofi atubrafo, nnipa ","Mmabun a wɔyem betumi anya nsɛm a ɛfa awofoyɛ, mmofra a wɔfa wɔn sɛ wɔn mma, anaa nyinsɛn a woyi gu "
6,Aka_Gha,Mmabun betumi ahu nsonsonoe a ɛda nsɛm a ɛyɛ nokware ne nsɛm a ɛyɛ animhwɛ anaa ɛdaadaa nnipa ntam w,Mmabun bu sohyial media nkɛntɛnsofo sɛ nsɛm ne akwankyerɛ fibea ahorow a ɛfa ASRH nsɛmti ho no yɛ so
19,Aka_Gha,Nsɛnkyerɛnne a ɛtaa ba a ɛkyerɛ sɛ abusuabɔ a ɛnyɛ papa anaasɛ ɛyɛ ayayade no bi ne: Ahyɛde: Ɔhokafo,Kɔkɔbɔ Nsɛnkyerɛnne ne Nneɛma a ɛkanyan a wobehu: Mmabun betumi ahu kɔkɔbɔ nsɛnkyerɛnne anaa nneɛma 
20,Aka_Gha,Nsɛm ho amanneɛbɔ ho nimdeɛ ma mmabun tumi susuw nkrasɛm a wɔde ma wɔ nsɛm ho amanneɛbɔ mu a ɛfa nna,Wɔde Wɔn Ho Bɛka Atipɛnfo Nhomasua Nhyehyɛe Ho: Mmabun betumi akamfo akyerɛ sɛ wɔmfa nsɛm ho amanneɛ
21,Aka_Gha,Mmara anaa nhyehyeɛ betumi akyerɛ STI ano aduro ho nkyerɛkyerɛ ne nneɛma a wɔde bɛma wɔ sukuu anaa m,Ma Nhumu: Yɛ nkyerɛkyerɛ nhyiam anaa nhyiam ahorow ho nhyehyɛe de ma nkurɔfo hu hia a nna ho nkyerɛk
32,Aka_Gha,Mpɛn dodow ne bere tenten a wɔde ma afotu anaa ayaresa no betumi ayɛ soronko a egyina w’ahiade ne w’,"Wɔ afotu anaa ayaresa bere mu no, wo ne wo fotufo anaa ɔyaresafo behyia wɔ kokoam ne kokoam tebea mu"
35,Aka_Gha,Ayɔnkofa a wɔne ankorankoro ne ɔmanfoɔ ahyehyɛdeɛ bɛyɛ no bɛtumi ama mmabun anya sikasɛm mu nnwuma t,Mmabun betumi akamfo amammerɛ mu ɔhwɛ a ɛfata wɔ akwahosan ho nhyehyɛe ahorow mu denam hia a amammer
38,Aka_Gha,"Mmabun betumi anya ahokokwaw, ahotoso, ne ahoɔden a wɔde bɛkasa atia mmarima ne mmea ho adwene a ɛnt",Wobetumi asiesie asetena mu ahobanbɔ nhyehyɛe ahorow ama akuw a wɔato wɔn hintidua denam: Fata a wɔk
40,Aka_Gha,"Wo Ho Hwɛ: Fa dwumadi ahorow a ɛma obi nya yiyedi nyinaa, te sɛ apɔ mu ateneatene, adidi pa, ne akwa",Asɛmbisa a wobue mu ne adwene foforo a wɔhwehwɛ mu yɛ nneɛma a ɛho hia wɔ nsusuwii a ɛyɛ katee mu be
41,Aka_Gha,"Gyinaesi nhyehyɛe mu kyɛfa a wonya no ma mmabun tumi wɔ nne a wɔma wɔn, wɔn suahu ahorow a wogye tom",Sukuu ne nkyerɛkyerɛ nhyehyɛe betumi ama mmabun tumi ma wɔasi gyinae a ɛfata wɔ wɔn nna ne awo akwah
