ID,subset,error_type,selected_wr,oracle_wr_5,oracle_wr_20,best_cand_wr,best_cand_rank_rrf,best_cand_rank_ce,pool_size,question
ID_VL_Lug_Uga_61B512ED,Lug_Uga,B_reranking_failure,0.0,0.74,0.74,0.74,0,49,69,Kisoboka kitya obutamanya oba omuntu alina Akawuka akaleeta Obulwadde bw'Ekikaba ng'omutunuulidde butunuulizi?
ID_VL_Amh_Eth_BD767E35,Amh_Eth,C_recall_failure,0.0,0.04228571428571429,0.04352941176470588,0.04352941176470588,63,52,64,ድሃ ከሆንኩ እና ምርመራ ወይም መድሃኒት ካስፈለገኝ ለመክፈል ዘካ (የበጎ አድራጎት ገንዘብ) መጠቀም እችላለሁን?
ID_VL_Aka_Gha_77097749,Aka_Gha,C_recall_failure,0.0,0.0,0.05285714285714285,0.05285714285714285,15,41,72,SRH nsɛm bɛn na mmabun betumi de akɔ 'online crisis' akɔpɛ ho mmoa?
ID_VL_Amh_Eth_473544F9,Amh_Eth,C_recall_failure,0.0,0.13454545454545452,0.13454545454545452,0.13454545454545452,2,36,72,ለወላጆቼ የARV ክኒኖችን እየወሰድኩ እንደሆነ እንዴት መንገር እችላለሁ?
ID_VL_Lug_Uga_F704D72F,Lug_Uga,B_reranking_failure,0.0,0.1670967741935484,0.74,0.74,16,26,67,Lwaki abantu bagamba nti tosobola kumanya oba ng'omuntu alina Obuwuka obuleeta Obulwadde bw'Ekikaba ng'omutunuulidde butunuulizi?
ID_VL_Lug_Uga_8D2434F9,Lug_Uga,B_reranking_failure,0.0,0.74,0.74,0.74,1,21,59,Kirungi okwogerako ne mikwano gyange ku bulamu bwange obw’okwegatta?
ID_VL_Lug_Uga_07D2FD4D,Lug_Uga,C_recall_failure,0.0,0.13454545454545452,0.27263157894736845,0.27263157894736845,15,6,57,Kyewuunyisa okwogerako ne mukwano gwange ku bulamu bwange obw’okwegatta?
ID_VL_Amh_Eth_E15CA666,Amh_Eth,C_recall_failure,0.0,0.030833333333333338,0.06529411764705884,0.06529411764705884,6,10,60,PrEP የ HIV ቫይረስን ለመከላከል እንዴት ይሠራል?
ID_VL_Amh_Eth_2E76128B,Amh_Eth,C_recall_failure,0.0,0.11384615384615383,0.11384615384615383,0.11384615384615383,1,1,61,ጫና የሄርፐስ ምልክቶችን ያባብሳል?
ID_VL_Amh_Eth_FBDD3933,Amh_Eth,C_recall_failure,0.0,0.04774193548387098,0.09548387096774195,0.10090909090909093,60,11,74,ለእናቴ የ አባላዘር በሽታ ሊይዘኝ እንደሚችል መንገር እፈራለሁ። ሌላ ማንን ማነጋገር እችላለሁ?
ID_VL_Amh_Eth_2067BDAC,Amh_Eth,C_recall_failure,0.0,0.0,0.0721951219512195,0.07589743589743589,34,53,83,ነፍሰ ጡር ከሆንኩ እና ኤች አይ ቪ ካለብኝ ልጄም ቫይረሱ ይይዛል?
ID_VL_Amh_Eth_FF37D19C,Amh_Eth,C_recall_failure,0.0,0.06577777777777778,0.0925,0.0925,8,11,69,ኤችአይቪ ሳይታከም ቢቆይ በልብ እና በደም ሥሮች ላይ ሊያስከትል የሚችለው የረጅም ጊዜ ጉዳት ምንድነው?
ID_VL_Aka_Gha_0EF8C2D6,Aka_Gha,C_recall_failure,0.0,0.041690140845070424,0.13703703703703704,0.13874999999999998,37,65,69,"Dwuma bɛn na abusuabɔ a ɛboa, a nnamfo, abusua, ne afotufo ka ho, di wɔ apomoden a ɛfa adwenemu ne yiyedi a wɔhyɛ ho nkuran ma LGBTQ+ ankorankoro?"
ID_VL_Amh_Eth_48CA7651,Amh_Eth,C_recall_failure,0.0,0.07047619047619048,0.08705882352941176,0.10571428571428573,49,0,78,በወር አበባዬ ወቅት በጣም ደካም እና የማዞር ስሜት ይሰማኛል:: ምን መብላት ነው የሚገባኝ?
ID_VL_Eng_Eth_117B355B,Eng_Eth,C_recall_failure,0.0,0.0,0.0,0.0,12,41,63,What is the term for a disease that is widespread and constantly present in a population at a low level?
ID_VL_Eng_Eth_CBDC4318,Eng_Eth,D_weak_pool,0.0,0.35519999999999996,0.35519999999999996,0.35519999999999996,1,16,61,What is the typical dose and route of administration for treating Early Syphilis?
ID_VL_Lug_Uga_3A799EFA,Lug_Uga,B_reranking_failure,0.0,0.08222222222222221,0.74,0.74,6,43,67,Nsobola kugenda wa okuyambibwa singa mba n’obubonero bw’Akawuka akaleeta Obulwadde bw'Ekikaba?
ID_VL_Amh_Eth_26242B40,Amh_Eth,C_recall_failure,0.0,0.0888,0.0888,0.12685714285714286,58,52,75,ከተጎዳሁ ባለቤቴን ለመጠበቅ የቤተሰብ አደጋ እንደሆነ ለጤና ባለሙያው ልንገርዎት?
ID_VL_Amh_Eth_9854CE4E,Amh_Eth,C_recall_failure,0.0,0.10962962962962965,0.10962962962962965,0.12333333333333332,36,5,57,የሶስተኛ ደረጃ ቂጥኝ ዋና ምልክት ምንድን ነው?
ID_VL_Amh_Eth_BFBBB17F,Amh_Eth,C_recall_failure,0.0,0.148,0.148,0.148,0,1,56,የኸርፒስ በሽታ ያለባት ሴት ማግባት ትችላለች?
ID_VL_Lug_Uga_74B79620,Lug_Uga,C_recall_failure,0.0,0.021142857142857144,0.09396825396825396,0.13999999999999999,25,56,63,Nsobola okubuusa amaaso amazzi amabi agava mu bitundu byange eby’ekyama ebiseera ebimu?
ID_VL_Lug_Uga_FED747BE,Lug_Uga,B_reranking_failure,0.0,0.74,0.74,0.74,1,58,59,Kirungi okugenda okukeberebwa Obuwuka obuleeta Obulwadde bw'EKikaba ne bwe mba nga siwulira butebenkevu kukyogerako?
ID_VL_Amh_Eth_39C6A1CA,Amh_Eth,C_recall_failure,0.0,0.0,0.05103448275862068,0.06166666666666666,36,43,65,በአንድ ጊዜ ሁለት ወይም ሶስት ኢንፌክሽኖች ሊኖሩ ይችላሉ?
ID_VL_Amh_Eth_9B37A22B,Amh_Eth,C_recall_failure,0.0,0.0,0.0,0.0,1,62,72, it is primarily a sexually transmitted infection that requires contact with an infected individual.
ID_VL_Eng_Eth_61EE6C5B,Eng_Eth,D_weak_pool,0.0,0.185,0.185,0.30148148148148146,31,18,48,Can I get trichomoniasis by sharing food?
ID_VL_Amh_Eth_CAE9B4A7,Amh_Eth,C_recall_failure,0.0,0.11384615384615383,0.11384615384615383,0.11384615384615383,0,67,73, it may offer emotional support but only antibiotics can cure it.
ID_VL_Amh_Eth_5C62B3A2,Amh_Eth,C_recall_failure,0.0,0.14095238095238097,0.14095238095238097,0.14095238095238097,0,28,72,ሀኪሞች ትሪኮሞናሲስ በቤት ውስጥ መታከም ይችላል ስለሚባለው ነገር ምን ይላሉ ?
ID_VL_Amh_Eth_3A3C563E,Amh_Eth,C_recall_failure,0.0,0.04625,0.06727272727272728,0.06727272727272728,9,20,70,እንደ ክላሚዲያ ወይም ጨብጥ ላሉ የአባላዘር በሽታዎች የሕክምና ውድቀት ዋነኛው መንስኤ ምንድን ነው?
