val_idx,subset,pred_s5,pred_s7
1582,Eng_Eth,Yes. A person can carry HIV for years without looking sick. The only way to know is by getting teste,Yes. A person can carry HIV for many years without looking or feeling sick. Looking healthy does not
1588,Eng_Eth,"Yes, complete abstinence from all intimate contact is 100% effective for preventing STIs. It is the ","This is a question about, General. Yes. Abstinence is the only 100% way to avoid STIs, but safe sex "
1589,Eng_Eth,"Warts can return at any time, often within the first few months, as the virus remains dormant in the","This is a question about, HPV. Yes, chemical treatments are often avoided. Warts may be removed by f"
1599,Eng_Eth,"This is a question about, General. No. Having a chronic STI (like HIV or Herpes) does not make you a","This is a question about, Vertical Transmission. Yes. You should be tested, especially for infection"
1601,Eng_Eth,"HIV cannot be cured, but antiretroviral medications allow people to live long and healthy lives. Pre","This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
1610,Eng_Eth,"HIV symptoms do not always show, many individuals may remain asymptomatic for years after infection.","This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people li"
1614,Eng_Eth,"This is a question about, Religion/Forgiveness. Your religion loves and supports you. The infection ","This is a question about, Religion/Stigma. No. Religious communities are meant to support the sick, "
1622,Eng_Eth,"In women, symptoms include foul-smelling vaginal discharge, itching, and pain during urination or se","This is a question about, Trichomoniasis. Trichomoniasis is curable with medicines like metronidazol"
1624,Eng_Eth,"This is a question about, General. Experts recommend testing every 3 to 6 months if you have multipl",Remind them that they are more than their diagnosis. Encourage them to practice self-care and tell t
1628,Eng_Eth,"HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system. If left untreated, it ","This is a question about, HIV/AIDS. HIV (Human Immunodeficiency Virus) is a virus that attacks the i"
1629,Eng_Eth,"This is a question about, Economic/Child Health. Basic childhood vaccines are usually provided for f","Delay is caused by first seeking a traditional healer, trying home remedies for too long, or waiting"
1633,Eng_Eth,"The risk is extremely low, as the germs die quickly outside the body. You mostly need to worry about","This is a question about, HIV/AIDS. No. HIV does not spread through sharing food, utensils, or drink"
1636,Eng_Eth,"This is a question about, HIV/AIDS. Prayer gives hope and strength, but HIV needs medical treatment.","Prayer is important for strength and hope, but HIV requires medical treatment with special medicines"
1637,Eng_Eth,Most HPV infections are asymptomatic. Some strains cause genital warts or precancerous changes that ,"This is a question about, HPV. Most HPV infections are asymptomatic. Some strains cause genital wart"
